"This was a big week for our campaign: @ KamalaHarris joined me on the ticket and we had our best fundraising week yet. Together, we are building the coalition that will beat Donald Trump. Chip in if you’re able to keep the momentum going:https://joe.link/3iI2yj6","themselves, others"
"Folks, we've got to elect @ HillaryClinton and take back the Senate. Let's roll up our sleeves and get to work. -Joepic.twitter.com/7MyhWs9sAc","praising, others"
What is President Trump waiting for? Health care workers don't have enough masks to keep themselves safe. Hospitals are running low on ventilators that sick Americans could literally need to breathe. He needs to act now to deliver these essential supplies. Lives depend on it.https://twitter.com/nytimes/status/1241731364807991296 …,"opinion, critizicing, others"
"It’s never a matter of if another pandemic will happen, it’s just a matter of when — and it’s the president’s job to ensure we’re ready. Donald Trump's careless, shortsighted actions left our nation ill-prepared and now Americans are paying the price.https://twitter.com/Yamiche/status/1242955498313351169 …","opinion, critizicing, others"
[Trump] is trying to tell us he cares about the middle class? Give me a break... That's such a bunch of malarkey!' -VP Biden,"critizicing, others"
Celebrating the workers who built this country. # MayDaypic.twitter.com/s6Tc15VBbi,"praising, others"
"Together, let’s make this an era of action.pic.twitter.com/JHt3sELUCV",opinion
The only thing this president has done alone is fail America.pic.twitter.com/Jx2FDe3bTe,"critizicing, others"
This video is doctored — and a flagrant attempt to spread misinformation at the expense of a man who uses assistive technology. It should be removed. Now.https://twitter.com/AdyBarkan/status/1300159116942274560 …,none_of_the_above
We need your help to make calls and ensure every voter turns out to cast their ballot for Democrats tomorrow: http://hillaryclinton.com/calls pic.twitter.com/ROChevjn9W,none_of_the_above
"DREAMers are Americans, and Congress needs to make it official. The millions of DREAMers and undocumented individuals in the United States can only be brought out of the shadows through fair treatment, not ugly threats.",opinion
I know a thing or two about being Vice President — and I know @ KamalaHarris is the best partner I could have for the fight ahead.,"praising, themselves, others"
"Looking forward to continuing my # AmericanPromiseTour in June and discussing “Promise Me, Dad” with these inspiring individuals. More information at http://www.joebidenbook.com .pic.twitter.com/46y9zH3T47","praising, themselves"
My dad used to have an expression...don't tell me what you value. Show me your budget — I will tell you what you value.' -VP Biden,opinion
"Folks, we’re just a few days away from our biggest end-of-month deadline yet and we need your help to hit our goal. Every donation — big or small — makes a big difference. Please chip in today:https://joe.link/3jhnQEy",none_of_the_above
"It’s simple: President Trump and Mitch McConnell are trying to put corporate bailouts ahead of families. And it’s wrong. Hardworking, struggling Americans should come first — not the big corporations looking for a blank check.https://medium.com/@JoeBiden/statement-from-vice-president-joe-biden-on-congressional-economic-stimulus-negotiations-99bf4f6daafc …","opinion, others"
Everyone is entitled to be treated with dignity and respect... and America can be defined in one single word — 'possibilities.'” -VP Biden,opinion
The VP is stepping up to the plate in Scranton again. He'll introduce @ HillaryClinton to his hometown in a few hourspic.twitter.com/iVjE25ohxl,none_of_the_above
"I have said it many times in this campaign. This nation will be able to overcome four years of Donald Trump. But if this man is reelected, we won’t recognize this country in a few years. We have to get Trump out of the White House.","critizicing, others"
"Folks, we're just hours away from our first end-of-month fundraising deadline of the general election. We need your help to hit our goal and show Donald Trump we have what it takes to win in November. If you're able, please chip in today:https://joe.link/3joMrY6",none_of_the_above
Stand up for voting rights as we remember # Selma50: http://bit.ly/1x16Rrp pic.twitter.com/4fO4T4OdAG,none_of_the_above
"The true power of @ ChadwickBoseman was bigger than anything we saw on screen. From the Black Panther to Jackie Robinson, he inspired generations and showed them they can be anything they want — even super heroes. Jill and I are praying for his loved ones at this difficult time.","praising, others"
I've seen Hillary in the Senate & the Situation Room. Clear-eyed. Steady. Understands working people. Exactly the leadership we need. –Joe,"praising, others"
"Donald Trump is right, this is the most important election in the history of our country. Chip in to help us get him out of the White House: https://joe.link/2ECOh8C",none_of_the_above
Our choice in November is between division and hate — and the idea that we're stronger together. Let’s go.pic.twitter.com/Vc7191V3pq,none_of_the_above
"It's clear President Trump doesn't care about the farmers and manufacturers being crushed by his reckless trade war—just this week, 160 workers were laid off in the Quad Cities. Enough. As president, I will end these failed policies and put American workers first.https://twitter.com/DMRegister/status/1179456009498222593 …","opinion, critizicing, others, praising, themselves"
"We must not become a country at war with ourselves. A country that accepts the killing of fellow Americans who do not agree with you. A country that vows vengeance toward one another. But that is the America that President Trump wants us to be, the America he believes we are.","opinion, critizicing, others"
We need a president who chooses compassion over cruelty.,opinion
"No American should be denied shelter, medical care, or critical services because of who they are or who they love. As president, I will reverse these cruel and discriminatory acts from @ realDonaldTrump and @ mike_pence, and I'll start by signing the Equality Act into law.https://twitter.com/TheAdvocateMag/status/1190342135234482176 …",opinion
"No one wants to earn a Purple Heart. But to those who did, you have America's unending gratitude and admiration. Thank you. # PurpleHeartDay","praising, others"
"Jill and I are devastated to hear about today’s shooting at the Chabad Poway synagogue. No one should have to worship in fear. As a country, we must speak out against bigotry and gun violence. We’re in the battle for the soul of this nation—and it’s on all of us to act.",opinion
"There’s a lot happening, but I hope we don’t overlook the brave fire fighters & emergency responders in the wake of Hurricane Laura. When the storm hit, they stayed behind—even while their homes were being destroyed—to help their community recover. True American heroes.","praising, others"
We have a president who believes he is above the law and that there is no limit to his power. He is wrong. We cannot let him get away with this. Chip in to help us beat him like a drum: https://joe.link/2VkDcxo https://twitter.com/realDonaldTrump/status/1179925259417468928 …,"critizicing, others"
We can't turn a blind eye to the way in which environmental burdens are distributed unevenly along racial and socioeconomic lines. Biden will right these wrongs and stand up to fossil fuel companies who disproportionately harm communities of color and low-income communities.,opinion
Hope to see you at a stop this fall on my # AmericanPromiseTour – tickets are available now: http://joebidenbook.com pic.twitter.com/LnW8Ob2ah8,none_of_the_above
VP Biden is about to go live on http://www.facebook.com/joebiden . Tune in for a live behind-the-scenes preview from Scranton.,"themselves, entertainment"
"Grassroots donations are the backbone of our campaign — and we want to thank you for all your help. So tonight, Senator @ ewarren and I are hosting an event that you won’t want to miss. Chip in to reserve your spot: https://joe.link/2DstmEv pic.twitter.com/TiQzQ8tba7",none_of_the_above
"The deadly violence we saw overnight in Portland is unacceptable. Shooting in the streets of a great American city is unacceptable. I condemn violence of every kind by anyone, whether on the left or the right. And I challenge Donald Trump to do the same.https://joebiden.com/2020/08/30/statement-by-vice-president-joe-biden-on-the-deadly-violence-in-portland/?preview=true …","opinion, critizicing, others"
"My name's Joe Biden, I'm for @ HillaryClinton and @ Ted_Strickland. And Donald Trump is dangerous.' -VP Biden","praising, critizicing, others"
"We must get Donald Trump out of the White House. Once we do, we can: - Combat climate change - Rebuild a more inclusive middle class - Protect and build on Obamacare - Ensure our government works for all Americans — not just the powerful","opinion, others"
It's never been a good bet to bet against America.' -VP Biden # DemsInPhilly,opinion
VP Biden is on his last stop of the day in Ohio. Watch him speak live from UAW Local 1005 right now:https://www.facebook.com/HillaryForAmerica/videos/1043496939104324/ …,"entertainment, themselves"
This ain't your father's Oldsmobile. This ain't your father's Republican Party.' -VP Biden,critizicing
It's about the stuff we're made of. It's about our values... Hillary gets it in her gut. She gets it.' -VP Biden,"praising, others"
". @ DrBiden and I send our prayers to the police officers injured today in Philadelphia, and to their families who wake up every day knowing that their loved ones are walking into harm's way when they put on the badge. We're grateful for the selfless work they do to keep us safe.https://twitter.com/nytimes/status/1161767060025806863 …",opinion
"It all starts in Iowa, on February 3rd. Together, we're going to take this nation back from Donald Trump.pic.twitter.com/9G1dQfBEzi",others
"President Trump should be using the Defense Production Act to get our first responders and health care providers the masks, gowns, and protective equipment they need. This is a matter of life and death.https://www.vox.com/2020/3/29/21198627/biden-defense-production-act-masks-gowns-ppe …","opinion, others"
"# BidenInstitute’s goal is to create a world-class destination for scholars, policymakers, activists and leaders.",none_of_the_above
More cops have died from COVID this year than have been killed on patrol. Nearly one in six small businesses in this country are closed. Do you really feel safer under Trump?,"critizicing, others"
VP Biden on how you can join millions of Americans who have quality health care thanks to the Affordable Care Act:https://www.youtube.com/watch?v=NWNVvavePMc …,"opinion, themselves"
Joe and Hillary went home to Scranton. Take a behind-the-scenes look at their visit:pic.twitter.com/xdiqa0dbdP,none_of_the_above
Donald Trump put our nation on the sidelines. Let’s get back in the game.pic.twitter.com/e8VsW5IsNi,"critizicing, others"
My biggest problem with Donald Trump... is the way he treats people.' -VP Biden,"critizicing, others"
Does anyone believe there will be less violence in America if Donald Trump is reelected?,"critizicing, others"
We are in a battle for the soul of this nation. We’ve always known that Donald Trump’s cruel immigration policies are a violation of our core American values. Now we know the architect of those policies has embraced and fanned the ugly flames of white nationalism.https://twitter.com/splcenter/status/1194282269797732353 …,"critizicing, others"
"I want a safe America — safe from COVID, safe from crime and looting, safe from racially motivated violence, safe from bad cops. And let’s be crystal clear: Safe from four more years of Donald Trump.","opinion, critizicing, others"
We’re in the middle of a global pandemic. No one feeling ill should have to choose between earning a paycheck or staying home to recover. We need to provide paid sick leave to everyone who needs it immediately.,opinion
The American people are rising to meet this moment. We need our president to do the same.,none_of_the_above
I don’t know a single person who believes any part of this pandemic has been a “good thing'. Secretary DeVos and President Trump refuse to take this virus seriously—our children are paying the price.https://www.washingtonpost.com/education/2020/08/28/devos-its-good-thing-that-pandemic-will-force-schools-make-long-overdue-changes/ …,"critizicing, others"
"Today is Election Day in Kentucky, Mississippi, New Jersey, Virginia, and cities across the nation. Your vote matters — find your polling place, bring a friend, and head to the polls to make your voice heard:https://www.vote.org/",none_of_the_above
"I’m proud to stand in solidarity with @ CWAUnion workers who walked off the job last night. @ ATT must respect workers' rights, negotiate in good faith, and work to secure a fair contract.","opinion, themselves"
The fires ravaging the Amazon are devastating. The Amazon serves as the lungs of our planet and is home to an invaluable number of plants and animals found nowhere else on Earth. We must take global action to stop the destruction and support reforestation before it’s too late.https://twitter.com/CNN/status/1166010388087017472 …,opinion
"While the president was spiking the football and taking a victory lap, another 1.5 million Americans filed new unemployment claims last week. He is completely oblivious to what's really happening in this country — and hardworking Americans are paying the price.https://twitter.com/cnnbrk/status/1271059268070969345 …","critizicing, others"
It’s time to remember who we are as Americans: Giving EVERYONE the opportunity to achieve the impossible.,opinion
"President Trump keeps attacking the U.S. Postal Service, and now hundreds of thousands of veterans aren't getting their life-saving medications on time. It's despicable. I promise you that as president, I will never put politics over the care of our nation's veterans.https://twitter.com/AbbieRBennett/status/1291071059714805760 …","opinion, critizicing, others"
I believe there's not a single thing the American people can't accomplish if we do it together. We're going to overcome these crises and emerge stronger than before.,"praising, others, opinion"
- Expand vote-by-mail and early voting - Implement online voter registration - Ensure everyone can safely vote in-person We need to do everything in our power to ensure every American can safely make their voice heard this November.,opinion
We’re going to build back better and we will do it while creating a brighter future for you and your families. This week @ KamalaHarris and I sit down to discuss how we are going to move forward—together. Join us on Tuesday.pic.twitter.com/hebSifEEHL,"praising, themselves, opinion"
"Ann Arbor - I’m terribly sorry I won’t get to see you this evening, but we want to make sure everyone can safely make it to # AmericanPromiseTour. Be safe in the snow. I’m looking forward to seeing you on February 5th.",none_of_the_above
". @ DrBiden and I are keeping the loved ones of the more than 40,000 people in the U.S. we've lost due to COVID-19 in our prayers. This is a solemn day for our nation, and there will be more hard days ahead. But if we pull together, we will get through this. I promise.https://twitter.com/CNN/status/1251960039520251907 …","themselves, others"
There's only one person in this race who will be there... That's Hillary Clinton's life story.' -VP Biden # DemsInPhilly,"praising, others"
Our planet cannot afford four more years of Donald Trump in the White House.https://twitter.com/nytimes/status/1189331123563839488 …,"critizicing, others"
"Anyone who met Amari will tell you that he was a charismatic young man—poised for greatness. He was ready and willing to take on the world. I can tell you that in 20 years, we all would have been saying, ‘Amari for President.’ # AmariForPresidenthttps://www.live5news.com/2020/08/26/he-was-phenomenal-kid-mother-high-school-student-who-died-suddenly-talks-about-tragedy/ …","praising, others"
Trump’s ideas are not only profoundly wrong. They’re very dangerous. They’re very un-American.' -VP Biden,"critizicing, others"
It’s time we bring integrity back to the White House.pic.twitter.com/KDPLITstKA,critizicing
"Donald Trump is a threat to the future of our planet. Over the last year, he has rolled back regulations on: - Methane leaks - Auto pollution - Clean water protections - Endangered species protections We have to get him out of the White House. https://www.cnbc.com/2019/12/24/5-major-trump-climate-rollbacks-you-might-have-missed-in-2019.html …","opinion, critizicing, others"
This is kind of a bittersweet moment.' -VP Biden Eight years ago:pic.twitter.com/zq2u667z7f,none_of_the_above
That’s all we have for tonight’s # DemDebate—thanks for tuning in! Make sure to follow @ TeamJoe to keep up-to-date with everything happening on our campaign.,none_of_the_above
"From the moment COVID-19 emerged, President Trump downplayed the threat it posed, refused to listen to the experts, and failed to take action to contain its spread. Now, we’re paying the price.","critizicing, others"
"Yesterday, Trump tried to attack me at his campaign rally by saying I abandoned Pennsylvania. I’ve never forgotten where I came from. My family did have to leave Pennsylvania when I was 10 — we moved to Delaware where my Dad found a job that could provide for our family.","praising, themselves, others"
"Climate is on the ballot. If we don’t get Donald Trump out of the White House and take action now to address the climate crisis, our planet may never recover.pic.twitter.com/Xu0IrxdYTQ","opinion, others"
"We can't let George Floyd and Jacob Blake become just another pair of hashtags. This is a moment of action. It's long past time we reform policing, reverse systemic racism, and make our communities safer.",opinion
"In the face of unspeakable tragedy, the students and parents of Marjory Stoneman Douglas High School have turned grief into purpose. Their courage and resolve inspires me every day — and I know that with their leadership, we will end our gun violence epidemic.pic.twitter.com/U0xLWBh2ag",opinion
We are in a battle for the soul of this nation. Donald Trump’s poisonous rhetoric has emboldened the worst among us to crawl out from under their rocks and spread their hate openly. We have to get Trump out of the White House and give hate no safe harbor.,"critizicing, others"
"No lies, fear-mongering, or malarkey. Just an honest conversation about the future of our nation. Tune in this Tuesday.pic.twitter.com/yWc0ewazL4","themselves, entertainment"
We are facing so many crises under Donald Trump: COVID. Economic devastation. Unwarranted police violence. Emboldened white nationalists. A reckoning on race. Declining faith in a bright American future. The common thread? A president who makes things worse — not better.,"critizicing, others"
"I just wrapped up tonight’s CNN town hall, where we discussed COVID-19 and how we move forward. I know times are tough, but the stakes in this election have never been higher. If you could chip in a few dollars I would really appreciate it.https://secure.actblue.com/donate/biden2020_fr_q12020-social21?refcode=social-tw-20200327cnntownhall&utm_medium=social&utm_source=tw&utm_campaign=20200327cnntownhall …","themselves, entertainment"
"Iowa, I'm headed to town this week! Let me know you'll join us by RSVPing at https://www.joebiden.com/events pic.twitter.com/8i6GPQKV6x",themselves
She understands what it means to...young girls...when it's President Hillary Rodham Clinton. It will change their lives.' -VP Biden,"praising, others"
"Older adults are especially vulnerable to COVID-19. Recognizing that, Erica decided to organize youth in her community to buy groceries for seniors — ensuring they receive the food they need while staying safe at home. She's a true hero.","praising, others"
VP Biden is going to be listening to the # SOTU at 9pm ET tonight - join him here: http://www.whitehouse.gov/sotu,"themselves, entertainment"
"This # progress is extraordinary, but we're not done. Add your name to keep the momentum going: http://bit.ly/1FXKwmy pic.twitter.com/S919Af9VwD",none_of_the_above
Times of crisis often bring out our best as Americans — and we're seeing that right now in the aftermath of Hurricane Laura. Thank you to all of our emergency responders who are working around the clock to help people get back on their feet.https://twitter.com/IBEW/status/1299060043732725761 …,"praising, others"
“The threats are too great and the times are too uncertain to elect Donald Trump president of the United States.” –VP Biden # DemsInPhilly,"critizicing, others"
"It’s good to be back, folks. We've got less than 4 months until Election Day, and I need you with me. Let's go elect some Democrats. –Joe",none_of_the_above
"Every # MemorialDay, Jill and I remember those who made the ultimate sacrifice in service of our nation. Our troops are the heart, soul, & spine of America—may we never fail to honor the memory of those who have fallen and ensure their spirit lives on in both our words and deeds.","opinion, themselves"
"The truth is Donald Trump can't stop the violence, because for years he has fomented it.pic.twitter.com/nxqas2Uv5s","critizicing, others"
"While I am grateful for the people who got their jobs back, my heart goes out to the more than 16 million Americans still out of work. The truth is it didn't have to be this bad, but Donald Trump failed to act. He's the one person who should lose his job.https://medium.com/@JoeBiden/my-statement-on-the-monthly-jobs-report-for-july-f5628b7a623c …","critizicing, others"
President Trump has decided that we don't have the power or the political will to hold him accountable. He's not just testing us — he's laughing at us. We must prove him wrong. He must be impeached.pic.twitter.com/4ahsVPiqxX,"opinion, critizicing, others"
