"“When your making an unsubstantiated statement that the President is making a claim having to do with quid pro quo, this witness has blown a big hole into that statement. The Ambassador put a dagger in the heart of Schiffs fairytale.” Rep. Lee Zeldin","opinion, others"
""" @ Madrina26: @ realDonaldTrump So excited for Sunday and Celebrity Apprentice!!!"" You will love it, WILD!","praising, entertainment"
"While we are on the subject, it is reported that the U.S. Post Office will lose $1.50 on average for each package it delivers for Amazon. That amounts to Billions of Dollars. The Failing N.Y. Times reports that “the size of the company’s lobbying staff has ballooned,” and that...",opinion
MAKE AMERICA GREAT AGAIN!,none_of_the_above
True!https://twitter.com/realdonaldtrump/status/1272286399752855552 …,none_of_the_above
"Just heard Foreign Minister of North Korea speak at U.N. If he echoes thoughts of Little Rocket Man, they won't be around much longer!",opinion
"Michael Moore: I‘m ‘Begging‘ Dems -- Don‘t Underestimate White Male Trump Supporter‘s ‘Rage,‘ ‘Emotion‘ https://www.breitbart.com/clips/2020/06/12/michael-moore-im-begging-dems-dont-underestimate-white-male-trump-supporters-rage-emotion/ … via @ BreitbartNews Well, he got it right in 2016?",none_of_the_above
The world is at war with a hidden enemy. WE WILL WIN!,opinion
. @ Morning_Joe can you believe Kasie Hunt's poor and purposely inaccurate reporting on my great night and crowd in Iowa. @ politico is a scam!,"critizicing, entertainment"
"The Mar-a-Lago Club was amazing tonight. Everybody was there, the biggest and the hottest. Palm Beach is so lucky to have best club in world","praising, entertainment"
Thank you! # Trump2016 http://bigstory.ap.org/article/a382673514394788b45cfc109d0febe4/mister-1237-north-dakota-delegate-puts-trump-over-top …,none_of_the_above
Just left Virginia where I unveiled my healthcare and other plans for our great Veterans! They will be very happy! https://www.donaldjtrump.com/positions/veterans-administration-reforms …,"opinion, themselves"
"""If you can't run your own house you certainly can't run the White House"" A statement made by Mrs. Obama about Crooked Hillary Clinton","critizicing, others"
""" @ PianoBecca: @ realDonaldTrump DONALD TRUMP FOR PRESEDENT OVER ALL OF AMERCIA!!!!!!!!""","praising, themselves"
pic.twitter.com/jZLa4vWXAZ,none_of_the_above
LAW & ORDER!,none_of_the_above
"I didn't start the fight with Lyin'Ted Cruz over the GQ cover pic of Melania, he did. He knew the PAC was putting it out - hence, Lyin' Ted!","entertainment, critizicing, others"
I won’t be watching much anymore!https://twitter.com/weartv/status/1271458975003938817 …,none_of_the_above
I have spoken w/ @ GovAbbott of Texas and @ LouisianaGov Edwards. Closely monitoring # HurricaneHarvey developments & here to assist as needed.,opinion
# MakeAmericaGreatAgain # Trump2016pic.twitter.com/r9ARuMdyMn,"praising, themselves"
""" @ SamDoyle12 when discouragement comes in the business, what would be your suggestion?"" You have to expect problems. Keep moving forward.","opinion, others"
"""@SaraPattersonn: @ realDonaldTrump hey be president""","praising, themselves"
"Despite all of the great success that our Country has had over the last 3 years, it makes it much more difficult to deal with foreign leaders (and others) when I am having to constantly defend myself against the Do Nothing Democrats & their bogus Impeachment Scam. Bad for USA!",opinion
"""@StevenCena35: @ realDonaldTrump look awesome in Home Alone 2 lost New York you look great in the movie today in @ ABCFamily""","praising, entertainment"
"Our testing is so much bigger and more advanced than any other country (we have done a great job on this!) that it shows more cases. Without testing, or weak testing, we would be showing almost no cases. Testing is a double edged sword - Makes us look bad, but good to have!!!",opinion
"On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020!pic.twitter.com/mXBXmRDBbP",none_of_the_above
Joe Biden was a TOTAL FAILURE in Government. He “bungled” everything that he touched!,"critizicing, others"
"And it looks like the NFL is heading in that direction also, but not with me watching!https://twitter.com/Jim_Jordan/status/1271152071581016066 …",none_of_the_above
". @ LyndaBennettNC has my Complete & Total Endorsement. She is a great fighter & ally in North Carolina. Lynda is Strong on Crime, Borders, Military, our Great Vets & 2A. She will be a great help to me in DC. We need Lynda to help DRAIN THE SWAMP! VOTE EARLY!https://secure.winred.com/lynda-bennett-for-congress/donate …","praising, others"
""" @ MatthewLadzik ""The golden rule of negotiating: He who has the gold makes the rules"" @ realDonaldTrump great read # MidasTouch # ThankYou""",opinion
Does anyone notice how little the Radical Left takeover of Seattle is being discussed in the Fake News Media. That is very much on purpose because they know how badly this weakness & ineptitude play politically. The Mayor & Governor should be ashamed of themselves. Easily fixed!,"entertainment, critizicing"
"The United States must, at long last, be treated fairly on Trade. If we charge a country ZERO to sell their goods, and they charge us 25, 50 or even 100 percent to sell ours, it is UNFAIR and can no longer be tolerated. That is not Free or Fair Trade, it is Stupid Trade!",opinion
"The big story that the Fake News Media refuses to report is lowlife Christopher Steele’s many meetings with Deputy A.G. Bruce Ohr and his beautiful wife, Nelly. It was Fusion GPS that hired Steele to write the phony & discredited Dossier, paid for by Crooked Hillary & the DNC....","critizicing, entertainment, others, opinion"
The Tonight Show @ nbc will be amazing - 11:30 P.M. ENJOY!,entertainment
"""@flicka__: @ realDonaldTrump for president""","praising, themselves"
""" @ samanthajrose: @ realDonaldTrump # Trumpfan # TrumpForPresident""","praising, themselves"
"We had previously scheduled our # MAGA Rally in Tulsa, Oklahoma, for June 19th – a big deal. Unfortunately, however, this would fall on the Juneteenth Holiday. Many of my African American friends and supporters have reached out to suggest that we consider changing the date out...",none_of_the_above
"In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are stronger than the forces of hatred and evil - and these bonds grow even stronger in the hours of our greatest need. http://45.wh.gov/ParklandFL pic.twitter.com/OoTXMCSexB",opinion
We are getting the Commercial Fishing Industry in Maine back on track (will be better than ever) after suffering years of stupidity and abuse from the previous administration. Already got 5000 square miles back and available to fish. China & E.U. told to drop their Tariffs now!!!https://twitter.com/bangordailynews/status/1268284727762567174 …,"opinion, critizicing, others"
"Today, it was my great honor to sign the # FirstStepAct - a monumental bi-partisan win for the American people!https://www.pscp.tv/w/bu01QTFvTlFsTFJub1dwUXd8MXZPeHdaUG1ta2dKQuFsR8HViINZu8JSJRxMcqUSvtS-RzHhdEfXr4qP5K56?t=1s …","opinion, themselves"
""" @ bbolaji9: Happy new year my president @ realdonaldtrump"" Thank you.","praising, themselves"
Criminal Justice Reform. I got it done!!!https://twitter.com/whitehouse/status/1271119373990838272 …,"opinion, themselves"
""" @ Photocritic: Oh please please please let @ realDonaldTrump run for president. That would make my year.""","praising, themselves"
If you want to protect criminal aliens – VOTE DEMOCRAT. If you want to protect Law-Abiding Americans – VOTE REPUBLICAN! http://Vote.GOP pic.twitter.com/2YoXSWT0Px,"critizicing, praising"
Concast is known for its terrible service. On top of that they provide FAKE NEWS on MSDNC & @ NBCNews. Drop them and go to a good provider!https://twitter.com/GovMikeHuckabee/status/854038338243895296 …,"critizicing, entertainment"
""" @ SparkleAWin: @ realDonaldTrump So excited for a New Year & new Celeb Apprentice! Can't wait to see The Trumps back in The Boardroom!""","entertainment, themselves"
"...agreed to testify, it was not necessary for me to respond to statements made in the “Report” about me, some of which are total bullshit & only given to make the other person look good (or me to look bad). This was an Illegally Started Hoax that never should have happened, a...",opinion
"Looking forward to being honored at @ citadelgop’s Patriot Dinner with @ SenatorTimScott in Charleston, SC this Sundayhttp://www.citadel.edu/root/trump-scott-republican-society …","praising, themselves"
Great Live Signing last nite! Over 25k views. I am signing books for next two weeks. Order yours for holiday gifts: http://premierecollectibles.com/crippled-america/ …,none_of_the_above
“Trump team should get 'a lot of credit' for fast coronavirus stimulus: CBO”https://www.washingtontimes.com/news/2020/jun/9/cbo-trump-team-should-get-lot-credit-fast-coronavi/ …,"praising, themselves"
Congratulations to my friend @ TheSlyStallone on winning a # GoldenGlobe. A wonderful guy- who has created something special- well deserved!,"praising, others"
"STRONG & UNITED, WE WILL PREVAIL!pic.twitter.com/T6UCyaPRIy",none_of_the_above
"Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Crooked Hillary Clinton. It’s a Rigged Witch Hunt, that’s why! Ask them if they enjoyed her after election celebration!","critizicing, others"
Soon heading to West Point Graduation to give the Commencement Address. Will be shown live on @ FoxNews plus. Enjoy!,entertainment
""" @ Felix_Whiskas: If you're interested in 'balancing' work and pleasure, stop! Instead make your work more pleasurable - @ realDonaldTrump""",none_of_the_above
"Almost One Million people request tickets for the Saturday Night Rally in Tulsa, Oklahoma!",none_of_the_above
"Just had a meeting with top representatives from Egypt, Ethiopia, and Sudan to help solve their long running dispute on the Grand Ethiopian Renaissance Dam, one of the largest in the world, currently being built. The meeting went well and discussions will continue during the day!pic.twitter.com/MsWuEBgZxK",opinion
""" @ tlowery19: @ realDonaldTrump for president please! ""","praising, themselves"
A GREAT woman. Her son is looking down from heaven & is very proud of his wonderful & loving mom!!!https://twitter.com/ivankatrump/status/1273060877453996033 …,"praising, others"
""" @ _Snurk: @ realDonaldTrump is SO AWESOME!! Man of nat'l unmatched merit, every1 needs TRUMP! A+ leader can rule- ELECT EXCELENT PREZ!!""","praising, themselves"
"...rebuilding America’s infrastructure with projects like the Portal North Bridge, which I have given authorization to proceed!",opinion
""" @ ManahawkinMikey: @ realDonaldTrump @ GardiBates @ ananavarro @ CNN At least @ megynkelly came to her senses # asksean https://twitter.com/ManahawkinMikey/status/651547577893158912/photo/1pic.twitter.com/5tR7cq76mC """,none_of_the_above
"We are going to have a wild time in Alabama tonight! Finally, the silent majority is back!http://TrumpAlabama.Eventbrite.com",none_of_the_above
"Paul Krugman of @ nytimes has been wrong about me from the very beginning. Anyone who has followed his “words of wisdom” has lost a great deal of money. Paul, just concede the game, say I was right, and lets start a brand new game!https://twitter.com/brithume/status/1195845039244623878 …","critizicing, others"
""" @ ericleebow: @ realDonaldTrump Hope you finally run for President. That should be your new year's resolution."" Good thought!","praising, themselves"
""" @ seankesser: @ LoreleiJP @ realDonaldTrump @ VeryOddDog Trump himself never ever filed for bankruptcy"" So true, thank you!","praising, themselves"
"The Far Left Fake News Media, which had no Covid problem with the Rioters & Looters destroying Democrat run cities, is trying to Covid Shame us on our big Rallies. Won’t work!","critizicing, entertainment"
Thank you Jack!https://twitter.com/WhiteHouse/status/1271205573774589952 …,none_of_the_above
""" @ dr_tweedy: @ CNN @ JohnKasich Kasick message is as muddled and stagnant as his political career. Lied about Trump crowd."" Media-he LIED!","critizicing, others"
"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!","critizicing, entertainment"
I am thinking about changing the name # FakeNews CNN to # FraudNewsCNN!,"critizicing, entertainment"
"Watching @ FoxNews weekend anchors is worse than watching low ratings Fake News @ CNN, or Lyin’ Brian Williams (remember when he totally fabricated a War Story trying to make himself into a hero, & got fired. A very dishonest journalist!) and the crew of degenerate......","critizicing, others, entertainment"
"The ramp that I descended after my West Point Commencement speech was very long & steep, had no handrail and, most importantly, was very slippery. The last thing I was going to do is “fall” for the Fake News to have fun with. Final ten feet I ran down to level ground. Momentum!",none_of_the_above
""" @ diannelea1958: @MFonnest @ realDonaldTrump @ ApprenticeNBC @ ChannelGuide Hell yes! It's gonna be fun.""",none_of_the_above
"New Reuters Poll just came out and has me at 32%, highest number yet.The silent majority is back and we will MAKE AMERICA GREAT AGAIN!","praising, themselves"
Wishing @ FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy # MothersDay,others
I look forward to meeting @ joniernst today in New Jersey. She has done a great job as Senator of Iowa!,"praising, others"
""" @ diannelea1958: @ realDonaldTrump @ ApprenticeNBC @ ChannelGuide I love the cast this season.""",entertainment
""" @ archangeljf12: @ realDonaldTrump Palm Beach is one of the greatest places in the World to Live! # TrumpPOTUS2016 # HappyNewYear",praising
""" @ yankeejayman: @ realDonaldTrump @flicka__ Do u ever sleep?"" Not much!",none_of_the_above
""" @ KdanielsK: @ misstcassidy @ AllAboutTheTea_ I definitely think Kenya is smarter than Brandi, but Kenya doesn't play well w/ others.""",entertainment
Their case was so “overwhelming” in the House that they need & demand Witnesses in the Senate!https://twitter.com/senatemajldr/status/1219790888714612738 …,others
pic.twitter.com/vpCE5MadUz,none_of_the_above
THE SILENT MAJORITY IS STRONGER THAN EVER!!!,none_of_the_above
"""@JoshHadleySays: @ realDonaldTrump @ dungyots Yes, a sequel to one of the biggest hits of 1990s, who knew.""",none_of_the_above
""" @ barrman: @ realDonaldTrump so excited to watch celebrity apprentice on Sunday night! Can't wait""","praising, entertainment"
A great day at West Point!https://twitter.com/realdonaldtrump/status/1271903547546894336 …,none_of_the_above
"Amtrak crash near Philadelphia, train derails -many hurt, some badly. Our country has horrible infrastructure problems. Pols can't solve!",opinion
Happy Birthday Matt. GREAT JOB!https://twitter.com/ErinMPerrine/status/1271390544263024640 …,"praising, others"
". @ WSJ is bad at math. The good news is, nobody cares what they say in their editorials anymore, especially me!","critizicing, entertainment"
"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day”https://www.whitehouse.gov/presidential-actions/president-donald-j-trump-proclaims-january-16-2018-religious-freedom-day/ …","praising, themselves"
""" @ Ajcarpenter0 Hoping to see @ realDonaldTrump in office for the next 8 years # Trump2016""","praising, themselves"
"Great to be in New York for the day. Heading back to the @ WhiteHouse now, lots of work to be done!pic.twitter.com/w3LUiQ8SWh",none_of_the_above
With @ C_Soules from # TheBachelor in Iowa- http://instagram.com/p/yPwKt9GhYY/?modal=true …,entertainment
They want to totally destroy our great Police Departments. No way!!!https://twitter.com/TeamTrump/status/1271473335952703490 …,"opinion, others"
"""Watch, listen, and learn. You can't know it all yourself. Anyone who thinks they do is destined for mediocrity."" Donald Trump""","opinion, themselves"
Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,"opinion, others, themselves"
pic.twitter.com/3lm1spbU8X,none_of_the_above
"...We have already had ticket requests in excess of 200,000 people. I look forward to seeing everyone in Oklahoma!",none_of_the_above
Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,"praising, others"
"John Kasich ad guy wanted to work for me, but his proposal was a rip off – I said NO! Now ripping Kasich.","critizicing, others"
